Study: 2.16.840.1.113669.632.20.1211.10000091756
Series: 1.2.840.113704.1.111.4660.1127310511.6
SpacingX: 0.59375
SpacingY: 0.59375
SpacingZ: 10.0

label: fibrosis
localisation: basal
slice_number: 11
nb_points_on_contour: 144
236.68996402011922 217.75053552528993
235.89363735377268 217.75053552528993
235.09731068742624 217.75053552528993
234.30098402107976 217.48509330317444
232.97377291050228 217.48509330317444
231.6465617999248 217.21965108105894
230.8502351335783 217.21965108105894
229.52302402300083 216.95420885894345
228.46125513453887 216.95420885894345
227.3994862460769 216.68876663682795
226.60315957973043 216.42332441471245
225.80683291338391 216.15788219259701
225.01050624703743 215.89243997048146
224.21417958069097 215.62699774836597
223.41785291434448 215.09611330413497
222.62152624799802 214.83067108201948
221.82519958165153 214.56522885990404
220.49798847107405 213.76890219355755
219.43621958261207 213.23801774932656
218.37445069415008 212.70713330509557
217.5781240278036 212.44169108298007
216.51635513934164 211.64536441663358
215.72002847299515 211.3799221945181
214.39281736241767 210.5835955281716
213.59649069607119 210.3181533060561
212.2692795854937 209.7872688618251
211.20751069703172 209.25638441759412
210.41118403068526 208.72549997336313
209.61485736433877 208.19461552913214
208.8185306979923 207.66373108490114
208.02220403164583 207.13284664067015
207.22587736529934 206.8674044185547
206.42955069895288 206.60196219643916
205.63322403260636 206.60196219643916
204.83689736625988 206.33651997432372
203.7751284777979 206.33651997432372
202.97880181145143 206.33651997432372
201.91703292298945 206.33651997432372
200.589821812412 206.07107775220823
198.99716847971902 206.07107775220823
198.20084181337253 206.07107775220823
197.40451514702605 206.07107775220823
196.07730403644857 206.07107775220823
194.75009292587112 206.07107775220823
193.95376625952466 206.07107775220823
193.15743959317814 206.07107775220823
192.36111292683165 206.33651997432372
191.5647862604852 206.8674044185547
190.7684595941387 206.8674044185547
189.9721329277922 207.13284664067015
189.17580626144576 207.13284664067015
188.37947959509924 207.39828886278565
187.58315292875275 207.92917330701664
186.7868262624063 208.19461552913214
185.9904995960598 208.46005775124763
185.1941729297133 208.99094219547862
184.39784626336683 209.25638441759412
183.60151959702034 209.52182663970962
182.80519293067388 210.0527110839406
182.0088662643274 210.5835955281716
181.47798182009637 211.3799221945181
181.2125395979809 212.17624886086458
181.2125395979809 212.97257552721106
181.2125395979809 214.034344415673
181.47798182009637 214.83067108201948
181.7434240422119 215.62699774836597
182.0088662643274 216.68876663682795
182.2743084864429 217.48509330317444
182.53975070855836 218.28141996952093
183.07063515278938 219.0777466358674
183.60151959702034 219.8740733022139
184.13240404125136 220.6703999685604
184.92873070759782 221.20128441279138
185.4596151518288 221.99761107913787
186.25594181817527 222.52849552336886
187.0522684845218 223.3248221897153
187.84859515086828 223.85570663394634
188.64492181721474 224.38659107817728
189.44124848356122 224.65203330029277
190.2375751499077 225.18291774452376
190.7684595941387 225.97924441087025
191.5647862604852 226.24468663298575
192.36111292683165 226.51012885510124
193.15743959317814 227.04101329933223
193.95376625952466 227.57189774356323
194.75009292587112 228.10278218779422
195.5464195922176 228.36822440990971
196.34274625856406 228.36822440990971
197.13907292491055 228.8991088541407
197.93539959125704 229.4299932983717
198.7317262576035 229.6954355204872
199.52805292395 229.9608777426027
200.3243795902965 230.2263199647182
201.12070625664296 230.49176218683368
201.91703292298945 231.02264663106467
202.71335958933594 231.28808885318017
203.5096862556824 231.5535310752956
204.3060129220289 231.8189732974111
205.3677818104909 232.3498577416421
206.42955069895288 232.3498577416421
207.22587736529934 232.6152999637576
208.02220403164583 232.6152999637576
208.8185306979923 232.6152999637576
209.61485736433877 232.6152999637576
210.41118403068526 232.8807421858731
211.20751069703172 233.14618440798859
212.00383736337824 233.14618440798859
212.80016402972473 233.14618440798859
213.59649069607119 233.14618440798859
214.39281736241767 233.14618440798859
215.1891440287642 233.14618440798859
215.98547069511062 233.14618440798859
217.0472395835726 233.14618440798859
217.84356624991912 233.14618440798859
218.9053351383811 233.14618440798859
219.70166180472756 233.14618440798859
220.49798847107405 232.8807421858731
221.55975735953604 232.3498577416421
222.62152624799802 232.08441551952666
223.41785291434448 231.8189732974111
224.47962180280646 231.5535310752956
225.27594846915295 231.28808885318017
226.0722751354994 230.75720440894912
226.8686018018459 230.2263199647182
227.66492846819241 229.4299932983717
228.46125513453887 229.1645510762562
229.25758180088536 228.10278218779422
230.05390846723185 227.57189774356323
230.8502351335783 226.77557107721674
231.6465617999248 225.97924441087025
232.44288846627126 225.71380218875476
232.70833068838678 224.91747552240827
233.50465735473324 224.65203330029277
234.30098402107976 224.12114885606178
235.09731068742624 223.59026441183084
235.89363735377268 223.3248221897153
236.68996402011922 222.79393774548436
237.48629068646565 221.99761107913787
237.7517329085812 221.20128441279138
237.7517329085812 220.4049577464449
237.7517329085812 219.6086310800984
237.7517329085812 218.81230441375192
237.7517329085812 218.01597774740543
236.95540624223466 217.75053552528993
nb_points_on_contour: 57
252.88193956916436 192.533524424318
252.3510551249333 191.7371977579715
251.28928623647138 191.2063133137405
250.4929595701249 190.40998664739402
249.6966329037784 189.87910220316303
248.90030623743192 189.87910220316303
248.10397957108543 189.87910220316303
247.30765290473894 190.40998664739402
246.51132623839246 190.40998664739402
245.71499957204597 190.94087109162507
244.38778846146855 191.471755535856
243.32601957300656 192.002639980087
242.26425068454458 192.533524424318
241.4679240181981 193.06440886854898
240.6715973518516 193.32985109066448
240.1407129076206 194.12617775701096
239.60982846338962 194.92250442335745
238.81350179704313 195.71883108970394
238.81350179704313 196.51515775605043
238.54805957492763 197.31148442239686
238.54805957492763 198.10781108874335
238.28261735281214 198.90413775508983
237.7517329085812 199.96590664355182
237.48629068646565 200.7622333098983
237.22084846435015 201.5585599762448
237.22084846435015 202.35488664259128
237.22084846435015 203.15121330893777
237.48629068646565 203.94753997528426
238.01717513069664 205.00930886374624
238.81350179704313 205.54019330797723
239.34438624127412 206.33651997432372
240.1407129076206 206.60196219643916
240.9370395739671 207.13284664067015
241.7333662403136 207.66373108490114
242.52969290666007 207.66373108490114
243.32601957300656 207.66373108490114
244.38778846146855 207.66373108490114
245.18411512781503 207.39828886278565
245.98044179416146 207.13284664067015
246.77676846050795 206.60196219643916
247.57309512685444 205.80563553009273
248.36942179320093 205.27475108586174
249.16574845954742 204.47842441951525
249.9620751258939 203.68209775316876
250.2275173480094 202.88577108682227
250.7584017922404 201.8240021983603
251.0238440143559 201.0276755320138
251.28928623647138 200.23134886566731
251.28928623647138 199.16957997720533
251.55472845858688 198.3732533108589
251.82017068070238 197.5769266445124
251.82017068070238 196.78059997816592
251.82017068070238 195.98427331181944
251.82017068070238 194.92250442335745
251.82017068070238 194.12617775701096
251.82017068070238 193.32985109066448
251.82017068070238 192.533524424318
slice_number: 12
nb_points_on_contour: 248
206.96043514318384 207.66373108490114
207.75676180953033 207.66373108490114
208.5530884758768 207.66373108490114
209.61485736433877 208.19461552913214
210.41118403068526 208.19461552913214
211.20751069703172 208.19461552913214
212.2692795854937 208.19461552913214
213.3310484739557 208.19461552913214
214.65825958453317 208.19461552913214
215.72002847299515 208.19461552913214
216.51635513934164 208.19461552913214
217.3126818056881 208.19461552913214
218.1090084720346 208.19461552913214
218.9053351383811 208.19461552913214
219.70166180472756 208.19461552913214
220.49798847107405 207.92917330701664
221.55975735953604 207.92917330701664
222.3560840258825 207.66373108490114
223.41785291434448 207.39828886278565
224.21417958069097 207.13284664067015
225.27594846915295 206.60196219643916
226.33771735761493 205.80563553009273
227.1340440239614 205.27475108586174
227.93037069030788 204.47842441951525
228.72669735665434 203.68209775316876
229.25758180088536 202.88577108682227
230.05390846723185 201.8240021983603
230.8502351335783 200.4967910877828
231.6465617999248 199.70046442143632
232.1774462441558 198.90413775508983
232.97377291050228 197.8423688666279
233.23921513261777 197.04604220028142
233.77009957684874 195.98427331181944
234.30098402107976 195.18794664547295
234.56642624319525 194.39161997912646
235.09731068742624 193.59529331277997
235.62819513165724 192.79896664643348
236.42452179800372 191.7371977579715
237.22084846435015 190.67542886950952
237.7517329085812 189.87910220316303
238.54805957492763 188.81733331470105
239.07894401915863 188.02100664835461
239.87527068550511 186.95923775989263
240.6715973518516 185.89746887143065
241.2024817960826 185.10114220508416
241.2024817960826 184.30481553873767
241.99880846242908 183.2430466502757
242.52969290666007 182.4467199839292
242.79513512877557 181.65039331758274
243.32601957300656 180.85406665123628
243.591461795122 180.0577399848898
244.12234623935305 179.2614133185433
244.38778846146855 178.46508665219682
244.65323068358398 177.66875998585033
244.91867290569948 176.87243331950384
245.18411512781503 176.07610665315735
245.71499957204597 175.27977998681087
246.51132623839246 174.2180110983489
247.04221068262345 173.42168443200242
247.57309512685444 172.62535776565596
248.10397957108543 171.82903109930947
248.63486401531642 170.7672622108475
249.16574845954742 169.970935544501
249.4311906816629 169.17460887815452
249.9620751258939 168.37828221180803
250.7584017922404 167.58195554546154
251.55472845858688 167.05107110123055
252.3510551249333 166.52018665699958
253.1473817912798 165.98930221276856
253.94370845762634 165.4584177685376
254.74003512397277 165.19297554642208
255.53636179031926 165.19297554642208
256.3326884566658 165.7238599906531
257.1290151230122 166.25474443488406
258.1907840114742 166.78562887911505
258.45622623358975 167.58195554546154
258.98711067782074 168.37828221180803
259.2525528999362 169.44005110027
259.78343734416717 170.501819988732
260.0488795662827 171.29814665507845
260.0488795662827 172.09447332142494
260.0488795662827 172.89079998777143
260.0488795662827 173.6871266541179
260.0488795662827 174.48345332046438
260.0488795662827 175.54522220892636
260.0488795662827 176.34154887527285
260.0488795662827 177.13787554161934
259.78343734416717 177.93420220796582
259.51799512205173 178.9959710964278
259.2525528999362 179.79229776277427
258.98711067782074 180.85406665123628
258.98711067782074 182.1812777618137
258.45622623358975 182.9776044281602
258.45622623358975 183.77393109450668
257.92534178935875 184.57025776085317
257.6598995672432 185.36658442719965
256.86357290089677 186.16291109354614
256.3326884566658 187.22467998200813
255.80180401243476 188.02100664835461
255.27091956820377 188.81733331470105
255.00547734608833 189.61365998104753
254.47459290185728 190.40998664739402
254.20915067974178 191.2063133137405
253.6782662355108 192.002639980087
253.4128240133953 192.79896664643348
252.88193956916436 193.59529331277997
252.61649734704886 194.39161997912646
252.3510551249333 195.18794664547295
252.08561290281781 195.98427331181944
251.82017068070238 196.78059997816592
251.82017068070238 197.5769266445124
251.55472845858688 198.3732533108589
251.28928623647138 199.16957997720533
251.0238440143559 199.96590664355182
250.7584017922404 200.7622333098983
250.4929595701249 201.5585599762448
249.9620751258939 202.62032886470678
249.4311906816629 203.41665553105327
248.90030623743192 204.21298219739975
248.36942179320093 205.00930886374624
247.83853734896994 205.80563553009273
247.04221068262345 206.8674044185547
246.51132623839246 207.66373108490114
245.98044179416146 208.46005775124763
245.44955734993047 209.25638441759412
244.91867290569948 210.3181533060561
244.38778846146855 211.1144799724026
243.85690401723755 211.91080663874908
243.591461795122 212.97257552721106
243.06057735089107 213.76890219355755
242.52969290666007 214.56522885990404
242.26425068454458 215.36155552625053
241.7333662403136 216.15788219259701
241.2024817960826 216.95420885894345
240.6715973518516 217.75053552528993
240.1407129076206 218.54686219163642
239.60982846338962 219.8740733022139
239.07894401915863 220.6703999685604
238.54805957492763 221.46672663490688
237.7517329085812 222.26305330125336
237.22084846435015 223.05937996759985
236.15907957588817 223.59026441183084
235.62819513165724 224.38659107817728
234.8318684653107 225.18291774452376
234.03554179896426 225.71380218875476
233.23921513261777 226.24468663298575
232.44288846627126 227.04101329933223
231.6465617999248 227.30645552144773
230.5847929114628 228.10278218779422
229.78846624511633 228.36822440990971
228.99213957876987 228.8991088541407
228.46125513453887 229.6954355204872
227.66492846819241 230.2263199647182
227.1340440239614 231.28808885318017
226.33771735761493 231.8189732974111
225.54139069126845 232.8807421858731
224.47962180280646 233.41162663010408
223.41785291434448 233.94251107433507
222.62152624799802 234.47339551856606
221.82519958165153 235.00427996279706
221.02887291530502 235.26972218491255
220.23254624895856 235.53516440702805
219.43621958261207 235.53516440702805
218.63989291626558 235.53516440702805
217.3126818056881 235.80060662914354
216.51635513934164 236.06604885125904
215.45458625087966 236.33149107337454
214.65825958453317 236.33149107337454
213.8619329181867 236.33149107337454
213.06560625184022 236.33149107337454
212.2692795854937 236.33149107337454
211.47295291914725 236.33149107337454
210.67662625280076 236.33149107337454
209.88029958645427 236.33149107337454
209.0839729201078 236.33149107337454
208.28764625376132 236.33149107337454
207.4913195874148 236.33149107337454
206.69499292106835 236.33149107337454
205.89866625472186 236.33149107337454
205.10233958837537 236.33149107337454
204.3060129220289 236.33149107337454
203.24424403356693 236.06604885125904
202.44791736722044 235.80060662914354
201.65159070087398 235.53516440702805
200.85526403452747 235.00427996279706
200.05893736818098 234.47339551856606
198.99716847971902 234.20795329645057
198.20084181337253 233.67706885221958
197.13907292491055 233.14618440798859
