Study: 1.2.840.113619.2.30.1.1762288805.2025.1109314154.342
Series: 1.2.840.113619.2.30.1.1762288805.2025.1109314154.346
SpacingX: 0.632812
SpacingY: 0.632812
SpacingZ: 10.0

label: micronodules
localisation: non-relevant
slice_number: 8
nb_points_on_contour: 54
206.91057131540302 106.27853187700435
206.1142446490565 106.01308965488886
205.05247576059452 106.01308965488886
203.99070687213256 106.01308965488886
203.1943802057861 106.01308965488886
202.3980535394396 106.27853187700435
201.60172687309313 106.54397409911984
200.53995798463114 107.07485854335081
199.74363131828466 107.60574298758182
198.41642020770718 108.1366274318128
197.08920909712973 109.19839632027478
196.29288243078324 110.26016520873675
195.76199798655225 111.32193409719874
195.49655576443678 112.11826076354521
195.49655576443678 113.18002965200719
195.49655576443678 113.97635631835368
195.76199798655225 115.30356742893115
196.5583246528987 116.09989409527762
197.35465131924522 116.89622076162411
198.1509779855917 117.95798965008609
199.2127468740537 118.22343187220157
200.00907354040015 119.01975853854806
200.80540020674664 119.28520076066357
201.60172687309313 119.55064298277905
202.9289379836706 120.08152742701004
203.72526465001707 120.34696964912553
204.52159131636355 120.34696964912553
205.58336020482554 120.87785409335652
206.379686871172 120.87785409335652
207.44145575963398 120.87785409335652
208.23778242598047 121.14329631547201
209.56499353655795 121.40873853758751
210.36132020290444 121.40873853758751
211.1576468692509 121.40873853758751
211.95397353559738 121.40873853758751
212.7503002019439 121.40873853758751
213.54662686829036 121.40873853758751
214.34295353463685 120.61241187124102
215.1392802009833 120.08152742701004
215.40472242309883 119.01975853854806
215.40472242309883 118.22343187220157
215.40472242309883 117.1616629837396
215.1392802009833 116.36533631739312
214.34295353463685 115.56900965104663
213.81206909040583 114.50724076258466
213.28118464617486 113.71091409623818
212.48485797982838 112.6491452077762
211.68853131348192 111.32193409719874
210.89220464713543 110.26016520873675
210.62676242501993 109.46383854239028
209.83043575867345 108.93295409815929
209.034109092327 108.4020696539283
208.50322464809597 107.60574298758182
207.70689798174948 107.07485854335081
nb_points_on_contour: 41
242.21438685676372 152.4654785251003
241.15261796830174 152.2000363029848
240.35629130195528 152.2000363029848
239.2945224134933 152.2000363029848
237.96731130291582 152.2000363029848
236.90554241445386 152.9963629693313
236.10921574810735 153.5272474135623
235.3128890817609 154.32357407990878
234.5165624154144 155.11990074625527
233.98567797118343 156.18166963471725
233.45479352695241 157.5088807452947
233.18935130483692 158.83609185587218
233.18935130483692 159.63241852221867
233.18935130483692 160.69418741068063
233.45479352695241 161.49051407702711
234.2511201932989 162.5522829654891
235.3128890817609 163.3486096318356
236.10921574810735 163.87949407606658
237.17098463656933 164.41037852029757
237.96731130291582 164.94126296452856
239.2945224134933 165.47214740875953
240.62173352407078 166.00303185299055
241.94894463464823 166.00303185299055
243.2761557452257 166.00303185299055
244.3379246336877 166.00303185299055
245.13425130003418 165.47214740875953
245.93057796638064 164.94126296452856
246.46146241061166 164.14493629818207
247.25778907695812 163.3486096318356
247.5232312990736 162.5522829654891
247.7886735211891 161.49051407702711
247.7886735211891 160.69418741068063
247.7886735211891 159.89786074433414
247.5232312990736 158.3052074116412
247.25778907695812 157.5088807452947
246.72690463272713 156.71255407894824
245.93057796638064 155.38534296837076
245.66513574426514 154.58901630202428
244.86880907791866 153.7926896356778
244.0724824115722 152.9963629693313
243.2761557452257 152.4654785251003
nb_points_on_contour: 34
256.01738240676946 189.62738962126951
255.22105574042294 189.36194739915402
254.42472907407645 188.56562073280753
253.62840240772996 188.56562073280753
252.56663351926798 188.56562073280753
251.77030685292155 188.56562073280753
250.70853796445957 188.83106295492303
249.64676907599758 189.09650517703852
248.85044240965107 189.62738962126951
248.3195579654201 190.423716287616
248.3195579654201 191.485485176078
248.3195579654201 192.54725406453997
248.3195579654201 193.34358073088646
248.3195579654201 194.1399073972329
248.3195579654201 195.20167628569487
248.3195579654201 196.26344517415686
248.3195579654201 197.05977184050334
248.85044240965107 197.85609850684983
249.64676907599758 198.12154072896533
250.44309574234407 198.12154072896533
251.50486463080605 198.12154072896533
252.30119129715249 198.12154072896533
253.09751796349897 198.12154072896533
253.89384462984546 197.85609850684983
254.69017129619195 197.32521406261884
255.48649796253844 196.52888739627235
256.54826685100045 195.99800295204136
257.3445935173469 195.20167628569487
258.1409201836934 194.67079184146388
258.93724685003986 193.8744651751174
258.93724685003986 193.0781385087709
258.93724685003986 192.28181184242442
258.40636240580886 191.22004295396243
257.8754779615779 190.1582740655005
nb_points_on_contour: 48
214.8738379788678 213.25174738954848
214.07751131252135 212.455420723202
213.01574242405937 212.1899785010865
212.21941575771288 211.924536278971
211.1576468692509 211.6590940568555
210.0958779807889 211.39365183474
209.29955131444245 211.12820961262452
208.50322464809597 211.12820961262452
207.70689798174948 211.12820961262452
206.91057131540302 211.12820961262452
205.84880242694103 211.12820961262452
204.78703353847905 211.12820961262452
203.99070687213256 211.39365183474
203.1943802057861 211.924536278971
202.9289379836706 212.7208629453175
202.13261131732412 213.78263183377948
201.60172687309313 214.84440072224146
201.60172687309313 215.90616961070344
201.07084242886214 216.96793849916543
201.07084242886214 217.76426516551192
200.80540020674664 218.82603405397384
200.80540020674664 219.62236072032033
200.80540020674664 220.6841296087823
201.3362846509776 221.4804562751288
202.13261131732412 222.54222516359079
202.9289379836706 223.07310960782178
203.72526465001707 223.33855182993727
205.05247576059452 223.86943627416827
205.84880242694103 224.40032071839926
206.91057131540302 224.66576294051475
207.70689798174948 224.66576294051475
208.76866687021146 224.66576294051475
209.56499353655795 224.66576294051475
210.36132020290444 224.66576294051475
211.4230890913664 224.13487849628376
212.7503002019439 223.33855182993727
213.54662686829036 222.54222516359079
214.34295353463685 221.7458984972443
214.34295353463685 220.9495718308978
214.60839575675234 219.62236072032033
214.60839575675234 218.82603405397384
214.60839575675234 218.02970738762735
214.60839575675234 217.23338072128087
214.60839575675234 216.43705405493438
215.40472242309883 215.37528516647245
215.67016464521433 214.57895850012596
215.9356068673298 213.78263183377948
215.67016464521433 212.986305167433
slice_number: 9
nb_points_on_contour: 268
268.2954847454488 142.60013243172585
267.29296886909583 141.59761655537292
266.62462495152727 140.59510067902
265.28793711639 138.92424088509847
263.6170773224685 137.25338109117695
262.61456144611554 136.25086521482402
261.6120455697626 134.91417737968675
260.27535773462546 133.91166150333385
259.2728418582725 132.5749736681966
257.93615402313526 130.90411387427508
255.93112227042943 129.23325408035356
255.2627783528608 128.23073820400063
253.92609051772357 127.562394286432
252.58940268258638 126.55987841007911
251.25271484744914 125.55736253372618
249.58185505352756 124.55484665737323
248.57933917717466 123.88650273980463
246.90847938325314 123.21815882223602
245.5717915481159 122.21564294588309
243.90093175419432 121.54729902831448
242.56424391905713 121.21312706953019
240.89338412513555 120.54478315196155
239.5566962899983 119.87643923439296
238.22000845486107 119.20809531682433
237.21749257850823 118.53975139925572
236.21497670215527 117.8714074816871
234.87828886701803 117.20306356411848
233.87577299066507 116.8688916053342
232.87325711431222 116.20054768776558
231.53656927917498 115.53220377019696
230.19988144403774 115.19803181141265
229.19736556768484 114.52968789384403
227.52650577376332 113.8613439762754
225.8556459798418 112.85882809992249
224.51895814470456 112.5246561411382
223.18227030956731 112.19048418235388
221.1772385568614 111.52214026478526
219.1722068041556 111.18796830600095
217.8355189690184 110.51962438843233
215.83048721631255 110.18545242964802
214.82797133995965 109.18293655329512
213.15711154603812 109.18293655329512
212.15459566968516 108.8487645945108
211.1520797933322 108.18042067694219
210.1495639169793 107.84624871815788
208.81287608184212 107.51207675937357
207.81036020548916 107.17790480058926
206.8078443291362 106.50956088302067
205.8053284527833 106.17538892423636
204.8028125764304 105.84121696545205
203.8002967000775 105.50704500666774
202.46360886494026 105.17287304788343
201.4610929885873 105.17287304788343
200.12440515345006 104.8387010890991
199.1218892770972 104.8387010890991
197.45102948317563 104.8387010890991
196.44851360682273 104.8387010890991
195.44599773046977 104.8387010890991
194.4434818541169 104.8387010890991
193.10679401897966 105.17287304788343
191.77010618384242 105.50704500666774
190.0992463899209 106.50956088302067
188.42838659599934 107.17790480058926
187.4258707196464 107.51207675937357
186.42335484329348 108.18042067694219
185.42083896694058 109.51710851207943
184.75249504937193 110.51962438843233
184.41832309058765 111.52214026478526
183.74997917301906 112.5246561411382
183.74997917301906 113.52717201749113
183.74997917301906 115.53220377019696
184.41832309058765 117.20306356411848
185.08666700815627 118.87392335804003
185.7550109257249 119.87643923439296
187.7600426784307 122.21564294588309
189.43090247235224 123.21815882223602
191.10176226627377 124.55484665737323
192.438450101411 125.22319057494187
194.4434818541169 126.55987841007911
196.11434164803842 126.89405036886339
197.78520144195997 127.89656624521632
199.1218892770972 128.56491016278494
200.79274907101873 129.23325408035356
201.79526494737163 129.56742603913784
202.79778082372454 130.2357699567065
203.8002967000775 130.90411387427508
205.47115649399902 131.906629750628
206.47367237035192 131.906629750628
207.81036020548916 132.90914562698094
208.81287608184212 133.24331758576525
211.1520797933322 134.91417737968675
212.15459566968516 135.2483493384711
213.15711154603812 135.9166932560397
214.82797133995965 136.9192091323926
216.16465917509683 137.25338109117695
218.50386288658697 138.92424088509847
219.50637876293993 139.92675676145137
220.50889463929283 141.2634445965886
221.1772385568614 142.60013243172585
222.17975443321436 143.9368202668631
222.84809835078298 144.939336143216
223.5164422683516 146.61019593713752
224.51895814470456 147.94688377227476
225.5214740210574 149.283571607412
227.19233381497898 151.62277531890214
228.19484969133183 152.95946315403938
229.53153752646907 154.29615098917662
230.53405340282208 155.6328388243138
230.8682253616063 156.63535470066677
231.53656927917498 157.63787057701967
232.53908515552789 158.9745584121569
232.87325711431222 159.97707428850984
233.54160103188084 160.97959016486277
234.54411690823375 162.31627799999995
235.2124608258023 163.98713779392153
235.880804743371 164.9896536702744
236.5491486609395 166.32634150541168
236.8833206197239 167.32885738176458
237.21749257850823 168.3313732581175
237.88583649607673 170.00223305203906
239.22252433121398 173.0097806810978
239.8908682487827 174.34646851623506
240.89338412513555 176.35150026894087
241.2275560839199 177.35401614529383
242.56424391905713 180.02739181556825
243.23258783662575 181.69825160948977
244.23510371297866 183.034939444627
244.23510371297866 184.03745532097992
244.23510371297866 185.70831511490147
244.23510371297866 187.0450029500387
244.23510371297866 188.71586274396026
243.56675979540998 190.38672253788172
243.0655018572336 192.0575823318033
242.56424391905713 193.72844212572485
242.23007196027274 194.73095800207773
241.8959000014885 195.7334738784307
241.56172804270423 197.40433367235224
240.89338412513555 198.4068495487051
240.55921216635127 199.40936542505807
239.8908682487827 201.0802252189796
238.88835237242975 202.08274109533252
237.71875051668465 203.5865149098619
236.5491486609395 205.09028872439126
235.54663278458665 206.42697655952853
234.20994494944946 207.42949243588146
232.87325711431222 209.10035222980298
231.53656927917498 209.76869614737157
229.86570948525346 210.4370400649402
228.52902165011622 210.7712120237245
226.5239898974103 211.43955594129312
225.5214740210574 211.43955594129312
223.5164422683516 211.43955594129312
221.5114105156458 211.43955594129312
220.17472268050855 211.43955594129312
218.50386288658697 211.10538398250884
216.8330030926654 210.7712120237245
215.83048721631255 210.7712120237245
213.4912835048224 210.7712120237245
212.15459566968516 210.7712120237245
210.1495639169793 211.27246996190098
208.14453216427344 211.77372790007743
207.14201628792054 211.77372790007743
206.13950041156764 212.1078998588617
205.13698453521468 212.44207181764605
203.29903876190102 212.9433297558225
201.4610929885873 213.44458769399893
200.4585771122344 213.7787596527833
199.4560612358815 214.44710357035186
196.44851360682273 215.78379140548913
195.78016968925408 216.78630728184206
194.4434818541169 217.78882315819496
193.77513793654825 219.12551099333217
192.77262206019535 219.79385491090082
192.10427814262673 221.13054274603803
191.77010618384242 222.46723058117524
191.4359342250581 224.13809037509682
191.4359342250581 225.80895016901832
191.77010618384242 226.81146604537125
192.10427814262673 228.1481538805085
193.44096597776394 230.15318563321435
194.4434818541169 230.8215295507829
196.11434164803842 231.15570150956725
197.45102948317563 231.15570150956725
198.78771731831287 231.15570150956725
200.12440515345006 232.15821738592018
202.79778082372454 233.1607332622731
203.8002967000775 233.1607332622731
206.47367237035192 234.16324913862599
207.47618824670488 234.83159305619463
209.81539195819497 235.49993697376325
210.81790783454792 235.49993697376325
211.82042371090088 235.83410893254757
212.82293958725373 236.50245285011616
213.8254554636067 236.50245285011616
216.16465917509683 236.8366248089005
217.50134701023407 237.5049687264691
219.1722068041556 237.5049687264691
220.84306659807706 237.5049687264691
223.18227030956731 237.5049687264691
225.5214740210574 237.5049687264691
226.5239898974103 237.5049687264691
227.52650577376332 237.5049687264691
229.36445154707698 237.5049687264691
231.20239732039065 237.5049687264691
232.53908515552789 237.17079676768478
233.54160103188084 236.16828089133185
235.54663278458665 234.83159305619463
237.71875051668465 233.32781924166525
239.8908682487827 231.82404542713584
241.56172804270423 229.81901367443004
242.89841587784142 228.48232583929283
243.90093175419432 227.81398192172418
245.07053360993936 226.47729408658697
246.24013546568452 225.14060625144973
247.57682330082164 223.80391841631246
249.08059711535103 221.79888666360665
250.5843709298804 219.79385491090082
251.92105876501765 217.95590913758713
253.25774660015495 216.11796336427344
253.92609051772357 215.11544748792056
254.92860639407647 214.78127552913622
256.26529422921374 214.78127552913622
257.601982064351 214.11293161156763
258.60449794070394 213.44458769399898
259.6070138170568 212.7762437764304
260.60952969340974 212.44207181764608
261.6120455697626 211.43955594129315
262.61456144611554 210.77121202372456
263.6170773224685 210.10286810615594
263.9512492812528 208.7661802710187
264.95376515760574 207.7636643946658
264.95376515760574 206.76114851831287
264.95376515760574 205.75863264195993
265.28793711639 204.75611676560703
265.6221090751743 203.7536008892541
265.9562810339586 202.41691305411686
266.29045299274287 201.41439717776393
266.29045299274287 200.41188130141103
267.6271408278801 198.07267758992083
268.62965670423307 196.06764583721497
269.63217258058603 194.2297000639013
270.6346884569389 192.39175429058758
271.30303237450755 191.3892384142347
272.47263423025265 189.38420666152885
273.64223608599775 187.379174908823
273.64223608599775 186.37665903247012
273.64223608599775 183.53619738280346
273.64223608599775 180.69573573313687
273.64223608599775 179.3590478979996
273.64223608599775 177.18693016590169
273.64223608599775 175.01481243380366
273.64223608599775 174.01229655745072
273.1409781478212 171.67309284596058
272.6397202096448 169.33388913447044
272.13846227146826 167.32885738176458
271.63720433329183 165.32382562905872
271.30303237450755 162.98462191756855
270.6346884569389 160.81250418547057
269.9663445393703 158.64038645337257
269.29800062180163 156.63535470066677
268.62965670423307 154.6303229479609
267.29296886909583 151.62277531890214
267.29296886909583 150.62025944254924
266.95879691031155 149.6177435661963
266.95879691031155 148.61522768984338
266.62462495152727 146.27602397835324
265.9562810339586 143.60264830807876
265.6221090751743 142.60013243172585
nb_points_on_contour: 539
128.9457779323929 108.5145926357265
127.27491813847138 108.18042067694219
126.27240226211843 107.84624871815788
124.6015424681969 107.84624871815788
122.93068267427535 107.51207675937357
